Municipality Code,State,Municipality,Population,Observed Deaths,Deaths Counterfactual,Deaths Averted,Percent of Counterfactual Deaths Averted,"Observed Death Rate, per 100,000","Counterfactual Death Rate, per 100,000","Averted Death Rate, per 100,000"
130195,Amazonas,Itamarati,7777,1,1.162000266,0.162000266,13.94149992,12.8584287,14.94149757,2.083068872
130200,Amazonas,Itapiranga,9312,11,13.23797016,2.237970161,16.90568973,118.1271478,142.1603325,24.03318472
130210,Amazonas,Japurá,1755,5,14.6346626,9.634662602,65.83453862,284.9002849,833.8839089,548.983624
130220,Amazonas,Juruá,15495,6,6.444063054,0.444063054,6.891041421,38.72216844,41.58801584,2.865847398
130230,Amazonas,Jutaí,13462,7,7.661878292,0.661878292,8.63859052,51.9982172,56.9148588,4.916641597
130240,Amazonas,Lábrea,47685,23,26.63673631,3.636736306,13.65308522,48.23319702,55.85978045,7.626583426
130250,Amazonas,Manacapuru,99613,125,171.2739347,46.27393469,27.01749964,125.4856294,171.9393399,46.45371055
130255,Amazonas,Manaquiri,33981,26,28.44293941,2.442939409,8.588913311,76.51334569,83.70247906,7.189133366
130260,Amazonas,Manaus,2255903,4607,5880.696724,1273.696724,21.65894254,204.2197736,260.6803894,56.46061574
130270,Amazonas,Manicoré,57405,42,46.9165088,4.916508801,10.47927249,73.16435851,81.7289588,8.564600298
130280,Amazonas,Maraã,18298,4,4.134357672,0.134357672,3.249783475,21.8603126,22.59458778,0.73427518
130290,Amazonas,Maués,66159,3,3.582359909,0.582359909,16.25632052,4.534530449,5.414773363,0.880242913
130300,Amazonas,Nhamundá,21710,14,15.88842702,1.888427023,11.88555054,64.48641179,73.18483198,8.69842019
130310,Amazonas,Nova Olinda do Norte,38665,16,16.51766357,0.517663567,3.133999943,41.38109401,42.71993681,1.338842795
130320,Amazonas,Novo Airão,20395,7,7.274145691,0.274145691,3.768768213,34.32213778,35.66631866,1.34418088
130330,Amazonas,Novo Aripuanã,26443,7,7.605074762,0.605074762,7.956197415,26.47203419,28.76025701,2.288222825
130340,Amazonas,Parintins,116439,122,192.1929438,70.19294377,36.52212323,104.7758912,165.0589096,60.28301838
130350,Amazonas,Pauini,19616,16,17.29109455,1.291094552,7.46681795,81.56606852,88.14791268,6.581844167
130353,Amazonas,Presidente Figueiredo,38095,36,39.32824343,3.328243432,8.462730959,94.50059063,103.2372842,8.736693615
130356,Amazonas,Rio Preto da Eva,34856,27,29.28030982,2.280309821,7.787860971,77.46155612,84.00364305,6.542086931
130360,Amazonas,Santa Isabel do Rio Negro,26566,24,27.6114658,3.611465801,13.0795874,90.34103742,103.9353527,13.5943153
130370,Amazonas,Santo Antônio do Içá,20889,16,22.59480599,6.594805994,29.18726541,76.59533726,108.1660491,31.57071183
130380,Amazonas,São Gabriel da Cachoeira,47031,28,33.2510617,5.251061696,15.7921625,59.53520019,70.70030766,11.16510747
130390,Amazonas,São Paulo de Olivença,40837,26,28.37867951,2.378679507,8.38192456,63.66775228,69.49256681,5.824814524
